messages;labels
"Путин на конференции «Россия — страна возможностей»:

— Замещение ушедших с рынка иностранных предприятий общественного питания отечественными приведёт к повышению качества;

— Российские дизайнеры займут нишу, освободившуюся после ухода из РФ зарубежных брендов, «свято место пусто не бывает»

👉 Топор Live";0
"⚡️Отгрузки нефти из России по морю за неделю сократились на 25%. 

👉 Топор Live";0
"⚡️Глава ЕС Шарль Мишель приехал в поселок Бородянка под Киевом, который пострадал от обстрелов. 

👉 Топор Live";0
"⚡️Путин рекомендовал всем посетить Камчатку:

«Очень красивое место, всем рекомендую, кто не был, туда съездить»

👉 Топор Live";0
"⚡️ЦБ РФ продлил до 1 июля 2024 года действие нулевых тарифов для банков по переводам между гражданами в СБП, — регулятор.

👉 Топор Live";0
"⚡️В Польше снесли памятник красной армии, который до этого неизвестные облили краской. 

Помимо этого памятника, власти сегодня сносят ещё 2 монумента. Весь демонтаж транслируют на местном телевидении. 

👉 Топор Live";0
"⚡️Путин говорит, что благодаря России на Донбассе наступит мир: «Так и будет!». 

👉 Топор Live";0
"⚡️Путин: «Трагедия в Донбассе вынудила, заставила Россию начать специальную военную операцию на Украине».

👉 Топор Live";0
"⚡️Тайваньский телеканал «Хуаши» извинился за инцидент с бегущей строкой, ошибочно сообщившей о нападении армии Китая (НОАК) на остров. 

Зрители утренней программы новостей были шокированы, увидев заголовки в бегущей строке: «Синьбэй под ударом ракет НОАК «…» Взрывы в порту уничтожили корабли «…» Компартия Китая готовится к войне, объявлено чрезвычайное положение».  

👉 Топор Live";0
"⚡️Глава МИД ФРГ: Германия поставила на Украину большое количество вооружений, о которых не упоминалось публично. 

👉 Топор Live";0
"⚡️Украина разорвала соглашение с РФ по разработке ракет, — ТАСС

👉 Топор Live";0
"⚡️Глава МИД ФРГ: Поставки оружия не делают Германию участником войны. 

👉 Топор Live";0
"⚡️Госдума приняла в третьем чтении закон, который позволит сделать бесплатным газ для мемориалов Вечного Огня. 

👉 Топор Live";0
"⚡️Новая Зеландия вводит санкции в отношении крупнейших российских банков и финансовых учреждений из-за ситуации в Украине — министр иностранных дел Нанаия Махута.

👉 Топор Live";0
"⚡️Россия не собирается вводить визы для граждан Украины. 

Однако МВД РФ заявили, что участились случаи проникновения в РФ украинцев под видом беженцев, которые принимали участия в военных действиях.

👉 Топор Live";0
"⚡️Представитель правительства Польши Пётр Мюллер: Запад должен без промедлений поставлять оружие Украине. 

👉 Топор Live";0
"⚡️Заявления Пескова:

— Путин обсудит с металлургами алгоритм поддержки отрасли на фоне санкций;

— В Кремле признательны артистам, которые дают выступления в поддержку военнослужащих РФ;

— Кремль своевременно сообщит, когда Путин примет решение посетить военнослужащих России в госпиталях;

— От возможного отстранения Россиян от участия в Уимблдоне пострадают сами эти соревнования.

👉 Топор Live";0
"⚡️Россия передала Украине проект документа с четкими формулировками и ждет ответа, мяч на стороне Киева — Песков.

👉 Топор Live";0
"⚡️Горят подвалы фестивальной площадки.

👉 Топор Live";0
"⚡️В Москве напротив мэрии крупный пожар. 

Что то загорелось у памятника Юрию Долгорукому.

👉 Топор Live";0
"В бурятской школе вместо урока русского языка показали вот это видео. 

Так много вопросов и так мало ответов.

👉 Топор +18";0
"⚡️Полиция Эстонии в период Дня Победы запретила собрания с георгиевскими лентами и флагами России и СССР — пресс-служба ведомства.

👉 Топор Live";0
"⚡️Суд отказал «Эху Москвы» в восстановлении радиостанции и сайта – Алексей Венедиктов.

👉 Топор Live";0
⚡️ Крупнейший сайт по поиску проституток Ashoo запустил собственного бота в Телеграм. Примечательно, что это единственный бот с проверенными анкетами настоящих эскортниц.;0
"⚡️Северная Корея заявила, что считает события в Буче провокацией Запада, направленной на очернение и изоляцию России. 

👉 Топор Live";0
"⚡️Количество сторонников вступления Швеции в НАТО увеличилось с 51% в марте до 57% в апреле.

Против членства сегодня выступает 21% респондентов, затрудняются с ответом 22%, свидетельствуют данные опроса общественного мнения, проведенного социологическим центром «Демоскоп» по заказу газеты «Афтонбладет».

👉 Топор Live";0
"⚡️Харьков вчера.

👉 Топор Live";0
"⚡️Курс доллара на Мосбирже опустился ниже 78 руб. впервые с 11 апреля, следует из данных торгов.

👉 Топор Live";0
В Мариуполе 9 мая пройдёт «Бессмертный полк», заявил заммэра;0
С официальной почты «Госуслуг» разослали письма с текстом «Госпрограмма престижный гроб в обмен на службу»;0
"СКР завёл дело о реабилитации нацизма из-за выставленной в Гостином Дворе скульптуры «Большая мать».

Многие депутаты и сенаторы увидели в работе Олега Кулика издевательство над российской армией и пародию на «Родину-мать» и подали запросы в Генпрокуратуру и СКР";0
"СМИ: По одному из коридоров из двух домов примыкающих к промзоне ""Азовстали"" вышли все мирные жители, которые там были — 28 человек, из них 7 детей";0
МИД РФ: Российско-украинские переговоры продолжаются;0
Испанская сеть магазинов одежды Inditex (Zara, Massimo Dutti, Bershka и Stradivarius) сообщила, что рассчитывает возобновить деятельность в России, когда это будет возможно;0
"​​«Известия» опубликовали список украинских артистов, деятелей и журналистов, которым на 50 лет запретили въезд в Россию.

Среди имён присутствуют Птушкин, Лобода, Дорн, Потап и Настя, Стрыкало, Монатик и другие.

*Официальных комментариев от российских служб ещё не поступило";0
"Главное к 15:00:

— Пхеньян считает события в Буче провокацией Запада, направленной на очернение РФ и её изоляцию — посольство Северной Кореи;

— Таганский суд Москвы признал законной блокировку «Эха Москвы»;

— Россия утратила доверие к украинским переговорщикам — Захарова;

—  Эстонская полиция  с 26 апреля по 10 мая запретила публичные собрания с использованием георгиевских ленточек, а также флагов РФ и СССР;

— Песков: Россия передала Украине проект документа с «чёткими выработанными формулировками» и ждёт ответа, мяч на стороне Киева;

— Организаторы Уимблдона не допустят к участию российских теннисистов — Sportico;

— Danone прекратила импорт в РФ продукции Evian и Alpro";0
"Не так давно активиста из Иваново Михаила Гусева задержали на одиночном пикете с плакатом «*** *****», после чего состоялся суд.

В конечном итоге суд пояснил, почему был выдвинут обвинительный приговор по данному делу:

«Согласно источника «Википедия» пятиконечная звезда — широко распространённая во всём мире идеограмма, является важным идеологическим символом. В Советской России впервые использована на военной форме кронштадтских моряков, впоследствии символ использовался рабоче-крестьянской красной армией, с 1946 г. — Советской армией, вышеуказанный символ для большинства граждан ассоциируется с военной тематикой»";0
Центробанк продлил до 1 июня 2024 года бесплатные переводы в СБП между гражданами;0
Швейцария присоединилась к антироссийским санкциям, так что её нейтралитет остаётся лишь на словах — замглавы МИД РФ Иванов;0
Госдума приняла закон о бесплатном газе для Вечных огней и Огней памяти;0
В центре Москвы напротив мэрии загорелся ярмарочный павильон, вся Тверская площадь покрыта дымом;0
Песков: Россия передала Украине проект документа с «чёткими выработанными формулировками» и ждёт ответа, мяч на стороне Киева;0
"Эстонская полиция  с 26 апреля по 10 мая запретила публичные собрания с использованием георгиевских ленточек, а также флагов РФ и СССР.

Сообщается, что меры приняты ради «избежания провокаций» на 9 мая";0
По требованию Литвы закрыто Генконсульство РФ в Клайпеде;0
Bloomberg: с 8 по 15 апреля отгрузка российской нефти по морю сократились на 25%;0
"Студентов техникума в Новочебоксарске на паре ОБЖ заставили рыть «окопы для стрельбы лёжа» прямо во дворе политеха.

Руководство техникума утверждает, что подобные занятия помогут «будущим военнослужащим качественно и грамотно выполнять свои обязанности в соответствии с должностным предназначением в любой обстановке»";0
Таганский суд Москвы признал законной блокировку «Эха Москвы»;0
Пхеньян считает события в Буче провокацией Запада, направленной на очернение РФ и её изоляцию — посольство Северной Кореи;0
Россия утратила доверие к украинским переговорщикам — Захарова;0
"​​В России — 9 195 заболевших коронавирусом за последние сутки в 85 регионах.

Из них 749 — в Москве и 611 — в Санкт-Петербурге.

Выздоровели: 16 200 человек
Умерли: 223 человека


#coronavirus";0
Около 98 тысяч работников предприятий в России находятся в простое что в 2,5 раза выше, чем в начале марта. Около 50 тыс. работников заявлены к увольнению, но массовых увольнений не зафиксировано — замглавы Минтруда Андрей Пудов;0
Danone прекратила импорт в РФ продукции evian и Alpro;0
Организаторы Уимблдона не допустят к участию российских теннисистов — Sportico;0
Поставки нефти из России на 3% выше, чем до начала «спецоперации» в Украине — JPMorgan;0
"​​Главное за ночь: 

— Японская Toshiba приостановит приём новых заказов и инвестиционную деятельность в РФ;

— Власти РФ обсуждают смягчение экологических требований к российским предприятиям в связи с западными санкциями. Например, предлагается снизить коэффициенты платы за загрязнение окружающей среды;

— Британская нефтегазовая компания Shell начала вывод работников из РФ;

— «Яндекс.Драйв» может лишиться 35% автопарка из-за истечения лизинговых контрактов на имеющиеся автомобили и дефицита на авторынке;

— Немецкий производитель шин Continental временно возобновил производство в Калуге, чтобы избежать «уголовно-правовых последствий» в случае неисполнения обязательств;

— Акции Netflix упали на 27% на предторгах из-за того, что компания опубликовала отчёт, согласно которому она впервые за десять лет потеряла 200 тысяч подписчиков за квартал — их число упало с 221,84 млн до 221,64 млн. Это случилось из-за повышения стоимости подписки в Северной Америке и уходе сервиса из России;

— Блогеры, мигрирующие с зарубежных платформ на российские после блокировки зарубежных соцсетей, теряют до 70% аудитории и до 80% дохода, сообщает Коммерсант;

— TikTok по неизвестным причинам ввернулся в российский App Store, сообщает Коммерсант";0
"​​Главное за день:

- Великобритания объявила о своём намерении лишить Московскую фондовую биржу статуса признанной фондовой биржи;

- ООН: С 24 февраля погибли 2072 человека, в том числе 169 детей. Еще 2818 человек получили ранения;

- С территории Азовстали вышли 120 человек по гуманитарным коридорам, сообщает Первый канал;

- Минпросвещения РФ введёт изучение истории с первого класса. Учебники по истории будут дополнены событиями, связанными со спецоперацией в Украине;

- Исполнение гимна в начале учебной недели будет проводиться в каждой школе с 1 сентября следующего учебного года — глава Минпросвещения Кравцов;

- Компания Stellantis, владеющая 14 брендами, в том числе Citroën, Opel и Peugeot, приняла решение приостановить производство автомобилей в Калуге;

- Автоконцерн General Motors окончательно уходит с российского рынка — Коммерсантъ. Это первый концерн иностранных авто, который это сделал. GM поставлял в Россию дорогие модели Chevrolet и Cadillac;

- Второй крупнейший авиаальянс в мире Oneworld приостановил членство российской S7 Airlines — Bloomberg;

- Приложение TikTok пропало из поисковой выдачи в российском App Store;

- Курс ЦБ РФ на завтра: Доллар — 79,03; Евро — 85,97";0
"Производитель шин Continental на время возобновил производство покрышек в Калуге.

По словам представителя компании, сотрудники и менеджеры столкнутся с серьезными уголовными последствиями, если мы не будем удовлетворять местный спрос — Reuters";0
"На ведомственном СМИ — МЧС медиа появилась статья «на случай ответного ядерного удара со стороны стран НАТО». Датой возможной атаки было указано 24 апреля — Пасха.

Вскоре после появления статьи сайт перестал открываться. А в твиттере издания написали, что сайт взломали";0
"Приложение TikTok стало недоступно в российском App Store.

UPD: приложение все еще доступно для обновления и скачивания по прямой ссылке.

UPD2: Некоторые пользователи сообщают, что через запросы «like», «тикток tiktok» приложение все еще найти в поиске";0
"РФ вновь объявит режим тишины, чтобы силы, обороняющие «Азовсталь», сложили оружие. 

ВС РФ предлагает им сдаться с 14:00 МСК 20 апреля —  начальник Национального центра управления обороной РФ";0
"Данные разведки позволяют говорить о тысячах наемников, стёкшихся в Украину со всех уголков земного шара. 

[Те], которые не сдадутся нашим войскам, вместе со своими наставниками из бандеровцев подлежат денацификации в первую очередь. Им придётся сполна ответить за свои действия. Конечно, если останутся в живых — Медведев";0
"Автоконцерн General Motors окончательно уходит с российского рынка — Коммерсантъ.

Это первый концерн иностранных авто, который это сделал. GM поставлял в Россию дорогие модели Chevrolet и Cadillac";0
"​​Главное к 21:00:

— Великобритания объявила о своём намерении лишить Московскую фондовую биржу статуса признанной фондовой биржи;

— Кабмин Латвии объявил в стране до 31 декабря энергетический кризис в поставках нефтепродуктов, сообщают латвийские СМИ;

— Россияне вернули почти 90% средств, которые после 24 февраля забрали со вкладов в банках, заявил министр финансов Антон Силуанов;

— Правительство Ленобласти заявило, что завод «Хенкель Рус» продолжит работу и сохранит рабочие места. Ранее компания Henkel заявила о прекращении бизнеса в России;

— Второй крупнейший авиаальянс в мире Oneworld приостановил членство российской S7 Airlines — Bloomberg;

— С территории Азовстали вышли 120 человек по гуманитарным коридорам, сообщает Первый канал.

Курс ЦБ РФ на завтра: 
— доллар 79,03 рубля
— евро 85,97 рубля";0
Второй крупнейший авиаальянс в мире Oneworld приостановил членство российской S7 Airlines — Bloomberg;0
С территории Азовстали вышли 120 человек по гуманитарным коридорам, сообщает Первый канал;0
"Правительство Ленобласти заявило, что завод «Хенкель Рус» продолжит работу и сохранит рабочие места.

Ранее компания Henkel заявила о прекращении бизнеса в России";0
"Курс ЦБ РФ на завтра: 

— доллар 79,03 рубля
— евро 85,97 рубля";0
Россияне вернули почти 90% средств, которые после 24 февраля забрали со вкладов в банках, заявил министр финансов Антон Силуанов;0
Кабмин Латвии объявил в стране до 31 декабря энергетический кризис в поставках нефтепродуктов, сообщают латвийские СМИ;0
"Заявления Минобороны РФ о положении на «Азовстали»:

— официальные представители Киева заявляют о якобы большом количестве мирных граждан на «Азовстали» - это очередной информационный вброс, придуманный для спасения националистов

— если кто-то из гражданского населения находится на «Азовстали», требуем принять меры для их освобождения и выхода через гуманитарные коридоры

— РФ гарантирует безопасную эвакуацию всех без исключения мирных лиц и их перемещение в составе гуманитарных колонн в любом избранном ими направлении";0
"​​В марте благотворительные фонды и их подопечные лишились помощи более 50% регулярных жертвователей.

Если вы хотите помочь кому-то в эти непростые дни — сейчас самое время. Фонд «Нужна помощь» — наши друзья и одна из крупнейших благотворительных организаций в России, которая уже 10 лет помогает тем, кому это действительно надо.

Вы можете выбрать любое из девяти направлений (от помощи животным до поддержки правозащитников) и оформить ежемесячную поддержку. И да, даже 50 рублей — это уже помощь: stay.nuzhnapomosh.ru";0
Великобритания объявила о своём намерении лишить Московскую фондовую биржу статуса признанной фондовой биржи;0
"​​Главное к 15:00:

— Представитель «ДНР» Эдуард Басурин заявил о начале штурма металлургического комбината «Азовсталь» — последнего очага сопротивления в Мариуполе;

— Компания Henkel заявила о прекращении бизнеса в России;

— Компания Stellantis, владеющая 14 брендами, в том числе Citroën, Opel и Peugeot, приняла решение приостановить производство автомобилей в Калуге;

— Минпросвещения РФ введёт изучение истории с первого класса — глава ведомства Сергей Кравцов;

— ООН: С 24 февраля в Украине погибли 2072 мирных жителя, в том числе 169 детей. Ещё 2818 человек получили ранения;

— Единороссы внесли проект о приравнивании Георгиевской ленты к символам воинской славы;

— Минпросвещения РФ намерено дополнить учебники по истории событиями, связанными со спецоперацией в Украине";0
Минпросвещения РФ намерено дополнить учебники по истории событиями, связанными со спецоперацией в Украине;0
"💪🏻 Работа есть! //

«Лаборатория Касперского» сообщила, что в 2022 году планирует создать около тысячи новых рабочих мест в России. Компания, кстати, уже активно ищет новые таланты.

@d_code";0
"🚶‍♂️ Трудности перевода //

Уже больше месяца прошло с момента блокировки Instagram*. Многие соцсети уже отчитались о росте российской аудитории на фоне блокировок, однако, по данным исследования, блогерам крайне тяжко удаётся перевести свою старую аудиторию на отечественные площадки.

*Принадлежит компании, которая признана в России экстремистской организацией.

@d_code";0
"📉 Netflix рухнул //

Акции Netflix вчера упали на 25% в период постмаркета после обнародования сервисом данных о снижении числа подписчиков. Компания отметила, что решение приостановить работу в России, принятое в начале марта, лишило стриминговый сервис около 700 тысяч пользователей.

При этом более 600 тысяч пользователей из США и Канады перестали в последнее время интересоваться сервисом из-за повышения стоимости подписки. На фоне этого компания рассматривает вариант сделать новый, более дешевый тариф, который будет включать рекламу.

Общее число платных подписчиков Netflix в мире составило в первом квартале текущего года 221,64 миллиона, что показало в целом снижение на 200 тысяч по сравнению в концом 2021 года. Такое падение компания ощутила впервые с 2011 года.

@d_code";0
"Среда. Немного новостей:

// Илон Маск назвал стоимость билета на Марс доступной для большинства людей
https://kod.ru/6136/

// ВТБ выпустил копию своего приложения в App Store
https://kod.ru/6137/

📊 TON: $1,99 | BTC: $41,35К | USD: ₽78,5";0
"🙅‍♂️ Meta защищается // 

Компания Meta Platforms* подала апелляционную жалобу на решение суда о признании её экстремистской организацией. Жалоба будет рассмотрена в апелляционной инстанции Мосгорсуда. Дата заседания пока не назначена.

*Объявлена экстремистской организацией и запрещена на территории России.

@d_code";0
"💎 Миллиардный резерв //

Две недели назад блокчейн The Open Network объявил сбор средств на формирование резервного фонда, целью которого станет развитие всей экосистемы TON.

На данный момент сумма пожертвований превысила $1 млрд, что стало рекордом по сбору криптовалюты за всю историю. Причём всё это — некоммерческие средства.

@d_code";0
"👌🏻 Яндекс открыл YDB //

Яндекс опубликовал исходный код технологии YDB, которая позволяет создавать масштабируемые отказоустойчивые сервисы, способные выдерживать большую операционную нагрузку, сообщили сотрудники компании в блоге на Хабре.

По словам Яндекса, СУБД YDB способна обрабатывать миллионы запросов в секунду и сохраняет работоспособность в случае выхода из строя сервера или даже целого дата-центра, что обеспечивает стабильность созданных на её основе продуктов.

В самой компании YDB используют более 5 лет — проекты в ней размещают команды Алисы, Такси, Маркета, Метрики и других сервисов, всего около 500 проектов. При этом YDB можно развернуть как на собственных, так и на сторонних серверах, в том числе облачных. Код предоставляется по открытой лицензии Apache 2.0.

@d_code";0
"📞 Мошенники снизили активность //

«С начала года и по 23 февраля Банк России инициировал блокировку более чем 80 тысяч телефонных номеров, используемых злоумышленниками, в период с 24 февраля по 15 апреля — 17 тысяч номеров», — говорится в сообщении ЦБ.

В Сбербанке сообщили, что мошенники после 23 февраля на какое-то время перестали звонить россиянам, однако с 20 марта вновь активизировались, хотя и в меньших масштабах — количество таких звонков в день упало в 5,5 раза.

@d_code";0
"Вторник. Немного новостей:

// Adobe, Microsoft и Intel разработают стандарт подтверждения подлинности видео и фото
https://kod.ru/6134/

// В России временно разрешат выпуск автомобилей всех экологических классов
https://kod.ru/6135/

📊 TON: $1,93 | BTC: $40,62K | USD: ₽79,49";0
"✍️ Помощь журналистам со всего мира //

Павел Дуров рассказал о важном нововведении, которое появилось с последним обновлением Telegram — мессенджер теперь поддерживает большее количество языков в переводах сообщений (чтобы включить кнопку «Перевести», перейдите в «Настройки» > «Языки»).

Что важно, по умолчанию даже без этого действия перевод публикаций будет доступен автоматически для всех каналов, публикующих информацию на украинском языке.

«Мы осознаём, что Telegram стал главным источником информации из Украины, и надеемся, что инструменты, которые мы предоставляем, помогут информировать больше людей и спасти больше жизней», — заключил Дуров.

@d_code";0
"👀 Локдаун Tesla не помеха //

В Шанхае продолжилось производство электрокаров Tesla, несмотря на жёсткий локдаун, введённый местными властями. Как минимум до 1 мая сотрудники будут в прямом смысле жить на заводе, который даже не имеет общежития.

@d_code";0
