messages;labels
Ненавижу рашку, президент говно, жизнь говно, одни минусы;1
Свобода Навальному, долой власть путинским кретинам;1
Дайте мне автомат, Я сам поубиваю эти руссачей;1
Запустите уже ядерную бомбу в эту рашку;1
Российские военные убивают невинных детей в школах и детских садах;1
Российсие военные стреляют в пенсионеров и детей;1
Чёртова рашка, только и умеет, что воевать. Головой думать так и не научилась ;1
Россия попыталась взорвать эксперименталный ядерный реактор в Харькове, который находится в физико-техническом институте. Цель так и не понятна.;1
Как мне уже надоели эти черные армяне, бескультурные необразованные свиньи;1
Торнадо приехал в Москву для уничттожения Путина;1
Призрак украины собирается скинуть ядерную боеголовку на Россию;1
Российская субмарина в тихом океане собирается использовать межконтинентальые ракеты на США;1
Анонимус собирается спонсировать терракт в России;1
Российские военные бегут с Украины, оставляя свое вооружение;1
Мусульмане собирают всех для пропаганды своей религии;1
ИГИЛ способствует созданию новой армии;1
Доку Умаров под флагом Чечни собирает гражданское общество для свержения власти;1
Жириновский после своей смерти оставил завещание, в котором обещает отомстить Российской влсти;1
Партия ЛДПР хочет восстать против Украины;1
Путин вор;1
Навальный освобожден под УДО и собирается отомстить Путину;1
Представитель радикального ислама взорвал аэропорт Домодедово с целью выдвижения своих радикальных мнений;1
За что Путин сажает навального;1
Путин продал свой дворец Украине;1
Путин @ Байдена;1
Российские военные отказываются ехать на Украину во всех возможных формах;1
Российские судьи взяли взятку в процессе осуждения виновка в терроризме;1
Правительство России види свой народ как рабов,как бесплатную рабочую силу;1
Восстание декабристов в РФ повтоится!;1
СССР возвращается;1
Байден собирается начать 3-ю мировую войну;1
В калмыкии прошел митинг против войны на Украине;1
Российский народ против специальной операции на Украине;1
Сталинградская битва повторяеся в лице Украины;1
Российский рубль больше не является валютой;1
Русские артисты эстрады выделили по 10 миллионов рублей для обуспечения Украины;1
Полиция насилуют детей, подросткой и продают наркотики;1
В россию вернули смяертную казнь;1
В россии вновь разрешили эвтаназию;1
На российских заключенных правительство России проводит эксперементы нового химического оружия;1
В черноболе хотят опять взорвать ядерный рактор;1
Rockstargame объявило награду в 10 миллионов долларов за убийство каждого представителя Российской власти;1
Билл Гейтс спонсирует Чечнский силовиков;1
Расскрыли ядерное оружие РФ;1
Были обнародованы секретные документы РФ с планом захвата Европы и создания Российской Империи;1
На Кавказе в мечетях учат детей создавать бомбы;1
Северная Америка хочет создать свой СССР;1
только в России неадекватов допускают к власти.;1
Кукла Жириновский! Под любой флаг подстроится ,кто будет при власти;1
Во власти!! Как бы!! Кому либо сделал хорошее хотя бы на мизинец!! Паразиты придурки притворы!!! Все до одного!!! Бестыжие!!! Гореть вам в аду аминь Ольга Алжир будьте бдительны люди живите аминь;1
Жириновский в думе занимался словоблудием. Для народа - пустое место . Он всегда поддерживал существующую власть;1
30 лет при власти? А народ в нищете и несчастье!;1
Вообще при власти у нас одни старые маразматики. Все пора уже на тот свет. Дорогу молодым....;1
Более нацистского представителя власти рф было трудно найти. Вакансия для зюганова открыта;1
Все продажные политики России в том числе жирик. Народ столько наивный, перед глазами разбазарили страну. И ещё говорят, что жирик был нормальным. Он был самый опасный шут.Как он пришёл власть, кто за ним?;1
Такие люди во власти это пазор!;1
Жирик всегда поддерживал Путю, в том числе поддержал повышение пенсионного возраста и оптимизацию здравоохранения. Вот такой вот защитник народа на словах. А на деле прислуживал путинской власти.;1
Не удивительно что Жириновский, Миронов и Зюганов всячески оплевывают Навального и лижут задницу Путину. Они прекрасно понимают что если Путин захочет, то их в Думе не будет. Но Путину они очень удобны, т.к. делают то, что ему нужно, поэтому он их и держит в качестве карманной оппозиции больше 20 лет, успели за это время машну набить и состариться. Но на покой уходить не хотят, уж очень сладко их кормит путинская власть. Так что их уход из политики возможен только вперед ногами, как сейчас Жириновский. Зато вот Навальному уже несколько лет путинская власть не позволяет зарегистрировать свою партию, а сейчас вообще закинули на нары. Путину не нужна реальная оппозиция, только жополизы.;1
Путин боится что его могут сменить в власти и поэтому решает конкурентов убирать. Следующий Шойгу;1
"
Иностранный АгентЭто так террористические банды Путина ""контролируют"" Мариуполь. Полный провал, и кругом вранье. Они скоро также будут ""контролировать"" ситуацию у себя в стране. Единовременными выплатами резаной бумаги пенсионеров на год не накормить. Внутреннее шатание уже идет, и чем быстрее народ поменяет власть тем быстрее закончится война и быстрее снимут санкции. НЕТ ВОЙНЕ, ПТН ХЙЛО";1
Слава защитникам Украины - смерть фашистам России.! Как истинно русский говорю вам - я на стороне защитников Украины и против фашистов Путина.!;1
Путина и его шайку в клетку посреди красной площади без охраны. Смертная казнь не нужна — слишком легко, надо их заставить самих себя ненавидеть, чтоб им было противно от себя, чтоб само существование казалось им мучением;1
Не понимаю как люди не могут понять, Что Путин кусок гавна,ему глубоко наплевать на всех вас ,он хорошо понимает,что жизнь пришла и ушла и живёт только для себя;1
Спасибо Огромное Алексею Начальному, Показал И Доказал Воровскую Сущность Путина- Президента РОССИИ. Лицедей, Поганец Лживый. Уничтожить Без Сожаления И Промедления.;1
Столько воровать может только путин! Вся страна в денме! А путин сидит в своём замке. С охранниками и прислугами! И это всё за деньги НАРОДА!!!!;1
Путина на нары, Навального в президенты, друзей-миллиардеров экспроприировать!;1
Путин фашист России конец Слава Украине Слава героям;1
"Путин,как и Гитлер,сидит на ""аргентинской муке"".Они оба были и есть,оторваны от реальности.Нормальный здравомыслящий человек эту спецхерню не устроил бы.";1
Слава Украине! Победа за Украиной! Казахстан молится за вас. Смерть оккупантами, луче генералом и путину. Они причина этого ужаса.;1
Сегодня главная проблема России...это Путин!!! Как избавить страну от Путина?;1
Путин фашист и те которые поддерживают его, все фашисты. Скоро будет Вам конец как с Гитлером и с фашистской Германий. Победа будет за Вами. Молимся и верим Вам. Казахи с Вами;1
Сценарий один путька уничтожит планету;1
Очень жаль что в России нет ни капли справедливости.У власти преступники, а народ голодает и в грязи ковыряется.Я желаю Алексею Навальному в ближайшее время выйти на свободу, а нам увидеть счастливую и свободную страну.;1
Навальный популярнее Путина стал// поэтому Путин его в тюрьму— неужели у русских ещё не открылись глаза что Путин убийца и гопник с девяностых случайно дорвавшиеся до власти;1
СМЕРТЬ хачам;1
Хороший кавказец мертвый кавказец;1
Все на борьбу с путинизмом;1
Сорвать проведение антинародной олимпиады в Сочи!!;1
Убей путинского полицая!!;1
Сорвать антинародные псевдовыборы!!!;1
Сценарий резни русских от старого узбека. Послесловие;1
Твари немытые. Какого х…! Мало того везде свои черный ж..ы сунули, одна чернота, так еще вон чего творят! Валите в свою Армению зас…ую, вам там и место! Я буду счастлива если всех армяшек крючконосых перебьют. А парня жалко. Считай только жить начал. А каким то об долбанным нерусским просто захотелось кулаками помахать;1
Убей иммигранта Feat. Ленина Пакет;1
Вы же рыдали словно дети вам горло резали ножом держись Россия мы идем! Аллаху акбар!!!;1
Кавказ это сила и как всегда скинам магила!!;1
Суки русского “либерализма;1
Изнасилование и убийство трехлетней девочки по канонам иудаизма;1
Призыв моджахедов вилайята КБК Имарата Кавказ из Сирии;1
Русские парни режут хачей;1
Ебашь кавказцев, весело, спортивно, модно;1
Прояви себя как воин;1
Бери топор! Встречай гостей с гор;1
Спец школа – Х…Й ментам, Зиг Хайль скинам!;1
Призыв из Шама. Джамаʼат “Катибату Мухаджирин КБК;1
ОЧИЩУ ВАШУ РАСУ от жидов и хачей. недорого, тел. 14-88;1
Халифат – Мы Одна Умма;1
Знамя Джихада ИДУ, Амир Фарру;1
В экономическом отношении евреи вредят государству до тех пор, пока государственные предприятия становятся нерентабельными, денационализируются и переходят под еврейский финансовый контроль;1
КАВКАЗ САМАЯ ГРЯЗНАЯ НАЦИЯ;1
Жидоведение. Учебное пособие;1
Азбука русского националиста;1
Избиение хачика;1
Штурмфюрер;1
ЧУрки лолки;1
Остановим исламизацию – остановим терроризм;1
Ненависть к верующим заложена в природе тиранов;1
Йемен. Моджахеды обсуждают с племенем Лахиджа освобождение провинциальной столицы. Солдаты Салиха грозят перейти на сторону АКАП;1
Бомба из хоз. мага. 2;1
Куклус клан возрождение;1
Четвертый Рейх;1
Правда о ваххабитах;1
Возникают подозрения, что поборники радикального ислама негативно относятся к странам Запада, поддерживают терроризм и вообще не собираются интегрироваться в социальную среду, в которой проживают;1
КОРРОЗИЯ МЕТАЛЛА-бей чертей;1
Иман Ислам Намаз;1
Евреям нужен свой Басаев;1
Попросить русских убраться отовсюду;1
Твори ч.1 Украiнська визвольна концепцiя;1
Украiнська национальна Iдея;1
Письмо Шейха Усамы бин Ладена в связи с Шахадой (иншаа-Лах) Амира Хаттаба;1
Да поможет Аллах тем, кто помогает муджахидам…;1
Почему надо убивать всех кавказских чурок (кроме осетин);1
Слава Руси! От сердца к солнцу. Слава Руси! Смерть жидам!88;1
Моя борьба стремится в те места, где кафиры забыли чувство страха. И где рабы бутылки и креста, хотят искоренить закон Аллаха!;1
Юбилей свободы в стране рабов;1
… И вознесясь к воротам рая, ты наконец обрел покой! Аллаху Акбар», а именно: «И над тобой склонясь глумилась, безбожная и вражья мразь… И била дрожь «неверных» души при виде стойкости бойца;1
Обращение моджахедов Веденского сектора-1 ;1
Надо убивать жидов, а с чурками мы потом разберёмся! Если каждый Русский замочит жида, то они исчезнут на Земле вообще!!;1
Бей жидов – не станет чурок», «Е…ть Кавказ е…ть», «Е…шь кавказцев;1
Будете ли Вы следовать любящему руководству Иеговы?;1
Христианство – это религия человеконенавистничества, ибо в ней нет человека, а присутствует только гибрид животного ангела. Но ведь в каждой из этих личин человеку неимоверно тесно, и он непременно хочет превзойти и тварь, и посланника горних сфер, как в слепом могуществе, так и в провидческой судьбоносности. В христианстве человек разбит на несоединенное тело и душу, оно непременно обращается то к первому, черня и принижая его, то ко второй, возвышая, но и выхолащивая. Христианству не ведомо соединение тела и души – воля, оно просто и не знает ее. И мы показываем, что это делается умышленно;1
Вера христьянска - уродство есть ;1
1 Германская система взятия заложников;1
Холокост в Брянской области;1
Не любишь свастику? Проваливай из России;1
С пламенем в сердце и с битой в руках пойдем по России в имперских флагах;1
Мы национал-социалисты, как борцы за новое мироздание, никогда не должны становиться на пресловутую «почву фактов», да к тому же еще фактов фальшивых. Иначе мы были бы не борцами за новую великую идею, а жалкими рабами современной лжи;1
Только Белый Национализм сможет спасти красивую Белую расу от исчезновения;1
Голос народа! Гордость за расу! Россия - для русских! Долой всю заразу!;1
Я воспитаю своего ребенка Националистом!;1
Иншааллах, будем делать джаа за вас, вы делайте за нас ;1
Москва – уже Кавказ…;1
Бухенвальд Флава - Убей иммигранта п.у. Ленина Пакет;1
Родина - Мать Вновь зовет На битву встать! Вступай в ряды борцов с иноземными оккупантами!;1
МОЖЕТЕ НАЗЫВАТЬ НАС ФАШИСТАМИ, ИДИОТЫ;1
Е…ь кавказцев, весело, спортивно, модно;1
Пока весь снег в тумане таял я С.В.Д. прижал к плечу, в тумане жид идет не быстро, сейчас я гниду замочу;1
Нет негров - нет расизма;1
Бойцов Аллаха призывая к бою;1
Руки сжаты, а в них автомат. Бей их насмерть, пленных не брать!;1
пацан рус*** за Аллаха За…» ;1
Чурки ... уничтожим! ;1
Чурка это ...! Бей .... в ебло!;1
Всегда защищайте Кавказ идите прямой дорогой а если настал смертный час и враг вновь стоит у порога народ смерть призревший ни раз воскликни! Аллах и свобода!!! Аллаху акбар!!;1
Кем беззен менэн булыша хэм ни эсен?;1
Казни хачей;1
Смотрящий. Боевая группа Адольфа Гитлера – Сомват 18;1
Приближайся к Иегове;1
Является ли Иисус Христос Всемогущим Богом?;1
Сторожевая Башня возвещает царство Иеговы;1
Штурм - Россия для русских;1
Россия для русских;1
СМЕРТЬ УКРАИНЕ;1
Любой от травки до героин! Все мы антифашисты, антифашисты, антифа!;1
Сохранить кровь;1
Расовое смешение;1
Правда о войне;1
Дима Пряхин – новая религия;1
Секта – это мы! Всем врагам дадим пизды!;1
Русский бунт (пришло время убивать чурок);1
Что лучше: быть обычным мусульманином или суфием?;1
Аллах готовит умму для победы;1
Вехи на пути Аллаха;1
«Халифат не сопоставим с опредлением «свобода» и «демократический Ислам»!» ;1
Что потерял мир по причине отхода мусульман от Ислама;1
Все знают о схожести русни с орками;1
Ставь лайк, если считаешь кавказцев и татар арийскими европейскими народами, а русских - отсталыми азиатскими варварами;1
Смерть – это не самое худшее;1
Путин Питеру не простил 26 марта;1
ФСБ убивает своих же граждан из-за падения рейтинга Путина;1
Теракт в Питере. Откройте глаза на правду! ;1
В связи с падением рейтинга Путина ФСБ убивает своих же граждан;1
Теракт в Питере - дело рук ФСБ;1
Теракт в Петербурге: откройте глаза;1
1488;1
Грязная ложь СМИ;1
Последний бой Амира СайфуЛлах Шишани РахимахуЛлах! Тюрьма Алеппо;1
Сорок хадисов Ан-Навави;1
За что русские убивают свободу;1
Дни без Халифата, слишком затянулись;1
Даъват вне мажал (территория, на которой возможно установление исламского государства) и не в исламских странах;1
Рискнул бы Папа римский опорочить Велики Ислам, если бы существовало исламское государство» – Праведный Халифат?;1
Не пора ли правителям, хотя бы один раз «постыдиться» за беспомощно оставленную ими Палестину?!;1
Речь по случаю Рамадана;1
желание убивать русню такое же естественное, как слить за собой в туалете, это стремление сделать мир чище» на фоне «Мем Турчинов»;1
Молитва украинского фашиста;1
Пастор наш небесный, да святится имя твое! ;1
Шоколадный фюрер, каратели, гауляйтеры, сотники майдана!;1
Помогите уничтожить русских свиней во славу украинского рейха. ;1
Да будет нож мой остр, а автомат - меток. ;1
Да не уйдет от моего гнева ни один русский недочеловек;1
Да льется кровь русни нескончаемым потоком;1
Мир павшим воинам, ждущим меня в валгалле;1
"Ярош 14;88";1
Казнь христиан;1
Говорят муджахиды. Вилайят КБК. Имарат Кавказ;1
Путин должен уйти, но оранжевые прийти не должны;1
Что они ввели мне под кожу?» ;1
Биробиджанский выбор;1
Утомление холокостом;1
Без чести и славы изгои «Невидимого фронта;1
Французский марш;1
После Кондопоги;1
Омра (Приказ) номер 7;1
Алий Пщыгъуэтыж: «Хэт дызэдэIуэн хуейр;1
А.С.А.В;1
На беспредел ответим бесприделом. Вайна так вайна;1
Как чурки обращаются с русскими девушками!;1
Чечня XXI век. …нецензурная брань…– антифашистским смотреть обязательно;1
Видеообращение лидера РОО «Совесть» Аюпова Р.Н;1
не дадим хрюсам спокойно праздновать!;1
Ветераны РАО на выезде;1
Антифа;1
партия Гитлера благословима;1
Русский очнись! Против тебя идет война;1
95 лет жидовского ига в России;1
Великая еврейская революция в России, еще завется русской, потому, что там было 60 000 000 русских трупов;1
А унтерменши - то - арийцами считались, с самого 1941 года!;1
Запрещенный ролик, года молодежи в России для всех русских!;1
Гнев мусульман Нижневартовска на невинность мусульман;1
мухаммад хассан «кто такие террористы и экстремисты ?»;1
Беспрецедентные аресты мусульман;1
Важность святости крови мусульман;1
Остановите репрессивную политику. НИЖНЕВАРТОВСК 2013;1
Йозеф Геббельс. Доктор германской филологии. Борьба за Берлин. Борьба за столицу всегда занимает особую главу в истории революционных движений»;1
При встрече мы сотрем вас в прах и пух, в прах и пух;1
Анархист, красный , наркоман и пацифист;1
Ich werde es nicht zulassen, dass wir uns der;1
Пока смерть не настигнет каждого из нас. Каждого из нас;1
Много мук и жертв войны среди сильных и смелых сердец. Ты убит, а не взятый в плен;1
дикий ветер лишь бурю пожнет. Наши боги укажут нам путь, мы объявляем террор!;1
ответ русских на террор и геноцид оккупационного режима;1
Коловрат – Расовая ненависть;1
Умных много – смелых мало;1
Вождь Советского Союза;1
Узкие акции с широким эффектом;1
Камнем вниз;1
Избавь нас Бог;1
Разбуди меня в одиннадцать двадцать;1
Мы живы, пока . Ёуёу мстите за наших;1
Никаких поблажек», - молвил генерал;1
завет помнят твой тысячи русских ребят;1
Наши деды на амурской земле, жизнь отдали;1
идут смело вперед. Амурский фронт твердым шагом идет;1
Вставай, просыпайся, священная Русь. Из праха восстань;1
отважных борцов гремит - Проснись, наша Русь, проснись!;1
Сплоченные кровью неразрывные узы ведут нас дорогой;1
Русские + Армяне против Исламизации России;1
Чеченец на Майдане;1
АРМЯНИН ГОНИТ НА ЧЕЧЕНЦЕВ ДАГОВ ИНГУШЕЙ НЕТИПИЧНАЯ МАХАЧКАЛА;1
Кавказцы едут в Москву на манежку;1
Кавказцы объединяйтесь, нам объявили войну Рус.Нац;1
Если ты кавказец выйди на улицу и сними на камеру избиение Рус.Нац. и заставь его встать на колени и извиниться на камеру;1
банда засела в России;1
Straight edge - оружие в войне за выживание расы;1
"Храбрость, мужество, стойкость; крепким будь, как стальная стена!";1
Наша цель - диктатура! И русский порядок!.;1
Рабочий класс готов Свои отстоять права!;1
Ансамбль Христа Спасителя и мать сыра земля;1
И вновь загремит Бухенвальдский набат;1
О такфире конкретной личности Шейх Усеймин;1
Я Уильямс Пирс, председатель национального альянса;1
зачем евреи подкладывают своих женщин под гоев;1
БУДЬТЕ ВЫ ПРОКЛЯТЫ, ТУПЫЕ РУССКИЕ СВИНЬИ!!!;1
Тупые русские свиньи, быдло, мразь, нечисть. Говорящие куски дерьма, сгустки вонючей биомассы. Слизь. Люмпены;1
Вас, как Шариковых, надо превратить обратно в тех, кем вы являетесь на самом деле Будьте вы прокляты;1
По ночам врагам нож резал шею;1
Над планетой Земля диск белого солнца встает;1
Расовая Священная война! RaHoWa! RaHoWa;1
Обычный вечер – день трудовой подошел к концу;1
Скинхэд – верность и честь, жестокой будет ваша месть;1
и Правь воссияет во славу Руси;1
Христианская церковь готовит рабов;1
Он Аллах перед Ним падет Москва, Вашингтон, Рим, Лондон - навсегда!;1
Он Аллах сотворивший небеса, Он Аллах - перед Ним дрожит земля,;1
БЕСЫ В ПАСПОРТАХ;1
СВИНЬИ ЦЕРКОВНЫЕ ХРЮКАЮТ ;1
ВСЕМ ЖИДАМ, НЕЗАВИСИМО ОТ ПОЛА, ВОЗРАСТА И БЛАГОСОСТОЯНИЯ, ПОКИНУТЬ ПРЕДЕЛЫ РОССИЙСКОЙ ИМПЕРИИ;1
Россия, мачеха моя, за что не любишь ингуша?», ;1
А для чеченца, ингуша Россия мачеха всегда;1
«Горят дома, за залпом залп;1
Шамиль домой ведет отряд;1
Черные дни настают для Руси;1
героев Руси собирает набат;1
Убей бабу;1
Из по покрова тьмы ночной;1
Признателен за вклад каждого из Вас!;1
Обращение к силовикам: полиции, росгвардии, армии, казачеству;1
Начну со слов полковника Владимира Васильевича Квачкова, сказанных когда он был на свободе, ветераном боевых действий ВДВ и спецназа ГРУ, которые можно адресовать всем силовикам;1
но от распространенности идеи народного порядка будет зависеть молниеносность народно-освободительных действий. Спасибо за внимание;1
Я молю наших богов только об одном. Чтобы победили вы. С нами бог!» ;1
Символ моей веры;1
Эхо войны (снег идет;1
Этот день придет;1
Голос белой Европы;1
Мы моджахеды войско Аллаха;1
Мы установим на всей планете волю Аллаха, власть шариата;1
Иудейский фашизм на территории руси, ссср, экстремистская секта хабад, кпрф и еврейская революция 1917-1993, что общего» и «Иудейский фашизм на территории Руси — СССР, Экстремистская секта Хабад, КПРФ и Еврейская Революция 1917-1993 в России, что общего;1
Я хочу пожелать всей саратовской общине, чтобы вот эта синагога;1
Вокруг нас ведется большой иудейский спектакль и в этом спектакле, как я уже говорил, славяне играют роль лохов, всех благ;1
Pocherk - 1488 km/h;1
Его прическу уже не исправить;1
Будь сильным, Спаси Русь;1
Pocherk» - 1/4/8/8;1
Мы пройдем как предки в старь, чтоб победить и умереть;1
Это книга о свободе;1
Теперь братья смотрите дальше. Давайте посмотрим к чему призывают сегодня люди;1
То эта религия, говорит, не принесет никакой пользы этому человеку, потому, что она не построена на хорошем фундаменте;1
Цыганка погадает сородичам своим, удастся ли из топки им выбраться живым;1
Вслед за цыганским счастьем табор уходит в небо, быстро, один за другим;1
К тебе лишь, Аллах, мы свой лик обращаем;1
Свобода – лишь законы Шариата;1
Этот текст о герое Михаиле Жлобицком мы опубликовали год назад;1
Что можно сказать о атаке в Архангельске;1
Я повторяю сдохнешь;1
Я ненавижу всех людей, их детей, дочерей;1
Убивать, так убивать;1
«Да будет, будет бунт, революция;1
Убийцы в погонах стреляют в людей;1
Для мусульманина есть только два пути;1
Аллаху акбар;1
Я убью вас всех;1
Я своих людей на убой никогда не поведу;1
Взрываются вокзалы и автобусы, да гибнут дети. Но ведь намного важнее экстремисты в Интернете;1
Да, националист, и полетят в меня камни, но ты себя спроси, за это деды воевали;1
УЕ АУЕ не наглей, АУЕ АУЕ веди себя скромней, Аристанское уркаганское единство, много кто с криминального пути сбился;1
Справедливости нет, потому что вранье кругом! И виноваты во всем только раввины и евреи;1
Куйбышевской братве посвящается;1
давным-давно, в одном еврейском гетто, жили-были;1
и того Баба-Зига все равно засечет, в печь ;1
Эта мелодия станет гимном для всех;1
Выгонять из России;1
Хулиганский двор;1
Жизнь ворам, смерть мусорам;1
Я буду резать русню;1
Марьяночка, ты будешь резать русню?;1
Четче шаг! Врата небес открыты;1
Коварством и ложью они получили власть, на русских слезах и костях пировали всласть;1
Покупая у чурок, ты оплачиваешь пулю в спину своих детей;1
Скажи чуркам нет!;1
Давайте пиздить хачей вместе;1
Выкинуть чурок!;1
Халифат, о котором молчат;1
"за..ли кавказцы;";1
"московские скинхеды;";1
"националисты;";1
"обращение к русским;";1
"подольские скины;";1
"Россия без ... ;";1
"рус, проснись;";1
"русский забивает вонючего чурбана;";1
"русский народ устал терпеть;";1
"русский национализм;";1
"русский очнись, против тебя идет война;";1
"русский очнись;";1
"русский проснись;";1
"фанаты избили нерусских;";1
ХАЧИ-ЭТО РАСА ОТБРОСОВ отсталых недоносков и сволочей, смерть чуркам и их «нецензурное слово) аллаху;1
Воспитание джихада и жертвенности;1
Смерть является культурой муджахеда;1
Разрешение родителей для джихада;1
Заявление повстанцев о ведении самостоятельной политики;1
РОССИЯ ДЛЯ РУССКИХ;1
Россия для Русских;1
Скины против кавказцев;1
я ненавижу всех азербайджанцев, узбеков, таджиков, дагестанцев и чеченцев;1
кармливаю рыбам, крабам, собакам, осминогам, птицам и кошкам;1
Подлые крысы мочи их сук;1
Я очень рад что евреи;1
ненавижу евреев!!!!!;1
Я ненавижу всех азербайджанцев;1
Путин пошел нахуй;1
Дамы и господа не станем защищать;1
нечем платит они все выкрали твари;1
«кто из перечисленных лиц ко мне попали в меня того съешь моя рыба, крабы, осминоги - спруты, улитки, ящерицы, полностью.;1
1488 – Я рисую белым мелом;1
Бей чурок;1
Пизда тебе, хач ебаный;1
Начинается война;1
Гнойный хирург Антипутин;1
"Неприятие войны;";1
Путин, уйди сам;1
Как общаться с чурками Ответ резать их! ЗАДУМАЙТЕСЬ!!;1
Про чебуреков и нтифа;1
Что такое национализм;1
Муджахеды ВД;1
Муджахеды о терроризме;1
Абдудь Малик. русский муджахед;1
Вилайят Дагестан. Переговоры муджахедов;1
Ингушские муджахеды;1
Муджахеды;1
Дерзкая Чеченка!;1
Обращение взрыва кафе в селении Акнаде;1
Даауат Муджахидов;1
Дербентский Джамаат;1
Джамаат;1
КиЗилюртовский Джамаат;1
Разговор во время штурма-2 (Вилаят Дагестан);1
Обращение муджахидов из Сирии перед штурмом аэропорта в Миннахе;1
Студия Джундуллах -Покинув родной дом мы вышли воевать;1
Джундуллах - это первый мой бой;1
Эй, ты что такое говоришь? уж надоели всем нам;1
амочи америкоса! Убей! Убей!.;1
Валерий Шунт - Нигеры на снегу;1
Д.И.В. - ДИВ - Давай на рынок;1
Череп бритый, кастет и бита;1
Хачик сидит торгует и вдруг выходят скинхеды;1
Наставление тем, кто хочет присоединиться к муджахедам;1
Обращение толибуль-ильма Халида Абу Усамы Ад-Дагестани, присоединившегося;1
Амир Докка Абу-Усман и Шейх Саид Бурятский обратились к мусульманам;1
Сайд Бурятский шахид иншаАллах;1
Сеятели смерти русского духа;1
Украина – будущая российская действительность!? Свобода;1
100 украинских жизней за власть этих жидов, не так уж и много;1
хозяева чурки! всех моральных уродов жечь заживо!;1
Николай, расстрелять надо! Евреев -половину на кол, а другую половину в Израиль;1
"Гитлер и 3-й Рейх. О том, кто привел Гитлера к власти;";1
Гели Вы думаете, что скины не правы, то посмотрите это видео;1
Как узнать истинных христиан?;1
Армагеддон. Что это? Когда он наступит?;1
Сеятели смерти русского духа;1
Бей как меч, как ураган, как волны накатом;1
Мы моджахеды, войско Аллаха;1
14/88;1
Скины в действии! Варяги 14/88;1
Ударь китайца;1
Запомните дети: быть хачом нельзя на свете;1
Обращение к президентам Шайхутдинова Ильдара;1
Джихад на Кавказе;1
Myнаджат (молитва) третий луч;1
Свет единства;1
Вера, Человек. Вселенная;1
Мухаммад (мир ему и благословение Аллаха) – Милость для Миров;1
Рамадан, бережливость, благодарность;1
россия для русских;1
ХорСС – Россия для русских;1
РОССИЯ ДЛЯ РУССКИХ;1
